Round,CommitType,runTime            ,throughput,NrTransactions,NrBackupSites,NrParticipants,timeoutBackupSiteThreshold,timeoutBlockingThreshold,voteAbortProbability,latencyLong,latencyBackup,timeToWriteLog,timeToWritePersistent
0    ,2PC       ,393503 milliseconds,77        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,2PC       ,41164 milliseconds ,77        ,100           ,6            ,6             ,1000 milliseconds         ,1000 milliseconds       ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,41092 milliseconds ,75        ,100           ,6            ,6             ,1000 milliseconds         ,1000 milliseconds       ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,219662 milliseconds,75        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,BC        ,144336 milliseconds,24        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,2PC       ,393576 milliseconds,75        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,BC        ,221562 milliseconds,93        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,2PC       ,250590 milliseconds,92        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,2PC       ,40214 milliseconds ,80        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,10
0    ,2PC       ,43365 milliseconds ,77        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,50
0    ,BC        ,97745 milliseconds ,38        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,10
0    ,BC        ,140160 milliseconds,26        ,100           ,6            ,6             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,50
0    ,2PC       ,977399 milliseconds,43        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,500        ,1            ,20            ,20
0    ,2PC       ,26973 milliseconds ,88        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,41929 milliseconds ,95        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,64445 milliseconds ,24        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,98864 milliseconds ,46        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,27137 milliseconds ,93        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,40289 milliseconds ,10        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,40816 milliseconds ,86        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,98834 milliseconds ,38        ,100           ,6            ,18            ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,26686 milliseconds ,92        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,BC        ,41083 milliseconds ,88        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
0    ,2PC       ,27001 milliseconds ,89        ,100           ,6            ,3             ,10000 milliseconds        ,10000 milliseconds      ,0.05                ,50         ,1            ,20            ,20
