objectCount, responseTime(ms)
2, 132
2, 125
2, 122
2, 122
2, 120
2, 119
2, 119
2, 118
2, 118
2, 117
2, 120
2, 119
2, 119
2, 119
2, 117
2, 116
2, 116
2, 117
2, 117
2, 115
3, 145
3, 135
3, 132
3, 128
3, 132
3, 132
3, 125
3, 129
3, 130
3, 121
3, 123
3, 123
3, 124
3, 125
3, 121
3, 126
3, 122
3, 327
3, 121
3, 123
5, 168
5, 166
5, 152
5, 160
5, 142
5, 147
5, 148
5, 139
5, 137
5, 140
5, 136
5, 140
5, 137
5, 142
5, 130
5, 132
5, 137
5, 133
5, 136
5, 136
7, 197
7, 189
7, 168
7, 162
7, 167
7, 165
7, 156
7, 158
7, 161
7, 150
7, 146
7, 149
7, 162
7, 162
7, 146
7, 144
7, 150
7, 144
7, 145
7, 153
